colum,instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
instant,1,0.412224179,0.866025404,0.496701889,0.016144632,-1.62E-05,-0.004336537,-0.021477205,0.150580302,0.152638238,0.016374713,-0.112619556,0.275255212,0.659622868,0.628830272
season,0.412224179,1,-0.001844343,0.831440114,-0.010536659,-0.003079881,0.012484963,0.019211028,0.334314856,0.342875613,0.205444765,-0.229046337,0.210399165,0.411623051,0.406100371
yr,0.866025404,-0.001844343,1,-0.001792434,0.007954311,-0.005460765,-0.002012621,-0.048726541,0.047603572,0.046106149,-0.110651045,-0.01181706,0.248545664,0.594248168,0.566709708
mnth,0.496701889,0.831440114,-0.001792434,1,0.019190895,0.009509313,-0.005900951,0.043528098,0.220205335,0.22745863,0.222203691,-0.207501752,0.123005889,0.29348783,0.279977112
holiday,0.016144632,-0.010536659,0.007954311,0.019190895,1,-0.101960269,-0.2530227,-0.034626841,-0.028555535,-0.032506692,-0.015937479,0.006291507,0.054274203,-0.108744863,-0.068347716
weekday,-1.62E-05,-0.003079881,-0.005460765,0.009509313,-0.101960269,1,0.035789674,0.031087469,-0.000169962,-0.007537132,-0.0522321,0.014282124,0.059922638,0.057367444,0.067443412
workingday,-0.004336537,0.012484963,-0.002012621,-0.005900951,-0.2530227,0.035789674,1,0.06120043,0.05265981,0.052182275,0.024327046,-0.018796487,-0.518044191,0.303907117,0.061156063
weathersit,-0.021477205,0.019211028,-0.048726541,0.043528098,-0.034626841,0.031087469,0.06120043,1,-0.120602236,-0.121583354,0.591044599,0.039511059,-0.247352995,-0.26038771,-0.297391239
temp,0.150580302,0.334314856,0.047603572,0.220205335,-0.028555535,-0.000169962,0.05265981,-0.120602236,1,0.991701553,0.126962939,-0.15794412,0.543284662,0.540011966,0.627494009
atemp,0.152638238,0.342875613,0.046106149,0.22745863,-0.032506692,-0.007537132,0.052182275,-0.121583354,0.991701553,1,0.13998806,-0.183642967,0.54386369,0.544191758,0.6310657
hum,0.016374713,0.205444765,-0.110651045,0.222203691,-0.015937479,-0.0522321,0.024327046,0.591044599,0.126962939,0.13998806,1,-0.248489099,-0.077007883,-0.091088604,-0.100658562
windspeed,-0.112619556,-0.229046337,-0.01181706,-0.207501752,0.006291507,0.014282124,-0.018796487,0.039511059,-0.15794412,-0.183642967,-0.248489099,1,-0.167613349,-0.217448981,-0.234544997
casual,0.275255212,0.210399165,0.248545664,0.123005889,0.054274203,0.059922638,-0.518044191,-0.247352995,0.543284662,0.54386369,-0.077007883,-0.167613349,1,0.395282451,0.672804433
registered,0.659622868,0.411623051,0.594248168,0.29348783,-0.108744863,0.057367444,0.303907117,-0.26038771,0.540011966,0.544191758,-0.091088604,-0.217448981,0.395282451,1,0.945516916
cnt,0.628830272,0.406100371,0.566709708,0.279977112,-0.068347716,0.067443412,0.061156063,-0.297391239,0.627494009,0.6310657,-0.100658562,-0.234544997,0.672804433,0.945516916,1
